State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Tamil Nadu",Thanjavur,"Papanasam(Uzhavar Sandhai ) APMC","Bottle gourd","Bottle Gourd",Local,31/12/2025,3600,3600,3600
"Tamil Nadu",Thanjavur,"Papanasam(Uzhavar Sandhai ) APMC","Green Avare(W)","Avare (W)",Local,31/12/2025,4000,6000,5000
"Andhra Pradesh",Guntur,"Duggirala APMC",Turmeric,Finger,Local,31/12/2025,10200,10200,10200
Uttarakhand,Nanital,"Haldwani APMC",Onion,Other,FAQ,31/12/2025,900,1200,1000
Uttarakhand,"Garhwal (Pauri)","Kotadwara APMC",Apple,Apple,Medium,31/12/2025,3500,3500,3500
Uttarakhand,"Garhwal (Pauri)","Kotadwara APMC",Raddish,Raddish,FAQ,31/12/2025,500,500,500
Uttarakhand,"Garhwal (Pauri)","Kotadwara APMC",Onion,Onion,FAQ,31/12/2025,1200,1200,1200
Uttarakhand,Udhamsinghnagar,"Bazpur APMC",Rice,Common,FAQ,31/12/2025,2811,3900,3690
Haryana,Mahendragarh-Narnaul,"Mohindergarh APMC","Green Chilli","Green Chilly",FAQ,31/12/2025,2000,3000,3000
Haryana,Mahendragarh-Narnaul,"Mohindergarh APMC","Sweet Potato","Sweet Potato",FAQ,31/12/2025,1500,1600,1500
Haryana,Mahendragarh-Narnaul,"Mohindergarh APMC",Raddish,Raddish,FAQ,31/12/2025,600,600,600
Haryana,Mahendragarh-Narnaul,"Mohindergarh APMC",Ginger(Green),"Green Ginger",FAQ,31/12/2025,4000,5000,4000
Haryana,Mahendragarh-Narnaul,"Mohindergarh APMC",Pineapple,"Pine Apple",Medium,31/12/2025,3000,3000,3000
Odisha,Sundergarh,"Panposh APMC",Tomato,Deshi,"Grade C",31/12/2025,4000,5000,4500
"Uttar Pradesh",Unnao,"Unnao APMC",Cabbage,Cabbage,FAQ,31/12/2025,1100,1250,1200
"Uttar Pradesh",Unnao,"Unnao APMC",Cauliflower,Cauliflower,FAQ,31/12/2025,1100,1250,1200
Haryana,Sonipat,"Sonepat APMC",Banana,Other,Medium,31/12/2025,2300,2500,2500
Haryana,Sonipat,"Sonepat APMC","Bottle gourd",Other,FAQ,31/12/2025,800,1000,1000
Haryana,Sonipat,"Sonepat APMC",Cauliflower,Other,FAQ,31/12/2025,800,1000,800
Haryana,Sonipat,"Sonepat APMC",Cucumbar(Kheera),Other,FAQ,31/12/2025,1000,1900,1500
Punjab,Jalandhar,"Shahkot APMC",Cabbage,Cabbage,Local,31/12/2025,500,500,500
Haryana,Mewat,"Punhana APMC",Potato,Other,Local,31/12/2025,600,600,600
Haryana,Mewat,"Punhana APMC",Tomato,Other,Local,31/12/2025,2500,2500,2500
Gujarat,Kheda,"Kapadvanj APMC",Tomato,Tomato,"Grade A",31/12/2025,2500,3500,3000
Gujarat,Kheda,"Kapadvanj APMC",Brinjal,Brinjal,"Grade A",31/12/2025,1000,1200,1100
Rajasthan,Deeg,"Deeg APMC","Bajra(Pearl Millet/Cumbu)",Other,Non-FAQ,31/12/2025,1880,2055,1950
Rajasthan,Ganganagar,"Suratgarh APMC",Cotton,Desi,FAQ,31/12/2025,6810,7310,7210
"Uttar Pradesh",Saharanpur,"Saharanpur APMC",Wheat,Dara,FAQ,31/12/2025,2500,2700,2620
Punjab,Hoshiarpur,"Garh Shankar APMC","Field Pea","Field Pea",Local,31/12/2025,2500,2500,2500
Punjab,Hoshiarpur,"Garh Shankar APMC",Ginger(Dry),Vegitable-fresh,FAQ,31/12/2025,6000,6000,6000
Punjab,Ludhiana,"Doraha APMC","Green Chilli",Other,Local,31/12/2025,2500,4000,3650
Punjab,Ludhiana,"Doraha APMC",Onion,Medium,Local,31/12/2025,1400,1800,1700
Punjab,Ludhiana,"Sahnewal APMC",Brinjal,Brinjal,FAQ,31/12/2025,1200,1200,1200
Punjab,Moga,"Nihal Singh Wala APMC",Carrot,Carrot,FAQ,31/12/2025,800,800,800
Punjab,"Ropar (Rupnagar)","Chamkaur Sahib APMC",Apple,Other,Medium,31/12/2025,6200,6200,6200
Punjab,"Ropar (Rupnagar)","Chamkaur Sahib APMC",Papaya,Other,Medium,31/12/2025,3000,3000,3000
Punjab,Jalandhar,"Bhogpur APMC","Peas Wet","Peas Wet",FAQ,31/12/2025,2100,2100,2100
Odisha,Gajapati,"Parlakhemundi APMC",Brinjal,Brinjal,"Grade Range-1",31/12/2025,1800,2000,1900
Odisha,Boudh,"Boudh APMC",Tomato,Other,Local,31/12/2025,4000,5000,4500
Odisha,Boudh,"Boudh APMC","Pointed gourd(Parval)",Other,Local,31/12/2025,4000,5000,4500
Odisha,Sundergarh,"Sargipali APMC",Potato,Other,FAQ,31/12/2025,1600,2000,1800
Odisha,Sundergarh,"Sargipali APMC",Pumpkin,Pumpkin,FAQ,31/12/2025,1000,1500,1200
Odisha,Sundergarh,"Sargipali APMC",Carrot,Other,FAQ,31/12/2025,3200,3600,3400
"Madhya Pradesh",Jabalpur,"Shahpura(Jabalpur) APMC",Kutki,Kutki,FAQ,31/12/2025,3750,3800,3800
Odisha,Dhenkanal,"Kamakhyanagar APMC",Brinjal,Brinjal,"Grade A",31/12/2025,20000,20000,20000
Odisha,Dhenkanal,"Kamakhyanagar APMC","Bitter gourd","Bitter Gourd","Grade A",31/12/2025,15000,15000,15000
Odisha,Dhenkanal,"Kamakhyanagar APMC",Onion,Onion,"Grade A",31/12/2025,6000,6000,6000
Odisha,Dhenkanal,"Kamakhyanagar APMC","Pointed gourd(Parval)",Other,"Grade B",31/12/2025,32000,32000,32000
Odisha,Dhenkanal,"Kamakhyanagar APMC",Tomato,Tomato,"Grade A",31/12/2025,17500,17500,17500
Odisha,Mayurbhanja,"Betnoti APMC",Cauliflower,Cauliflower,FAQ,31/12/2025,700,1100,900
Odisha,Keonjhar,"Champua APMC",Cauliflower,Other,Local,31/12/2025,2000,2000,2000
Gujarat,Surat,"Songadh APMC","Bhindi(Ladies Finger)",Bhindi,FAQ,31/12/2025,5500,6500,6000
Punjab,Bhatinda,"Talwandi Sabo APMC",Cauliflower,Other,"Grade A",31/12/2025,400,600,500
Punjab,Bhatinda,"Talwandi Sabo APMC",Onion,Other,"Grade A",31/12/2025,400,600,500
Punjab,Bhatinda,"Talwandi Sabo APMC",Tomato,Other,"Grade A",31/12/2025,1500,1800,1700
